"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","activations","fourier_features","method","mlp_type","n_domain","n_fourier_features","n_hidden","n_iters","net_type","num_domain","rank","seed","sigma","elapsed_time_s","final_loss","iterations_per_sec","l2_relative_error","mean_pde_residual"
"dark-sweep-256","","finished","-","","","2025-10-01T11:22:10.000Z","325","hnu0e21f","sin","true","","modified-mlp","200**2","256","3","30000","SPINN","22500","64","3","10","317.70645928382874","0.00004231908678775653","472.1339324926813","0.17332518766629232","0.09311317652463912"
"proud-sweep-255","","finished","-","","","2025-10-01T11:16:16.000Z","352","hnu0e21f","sin","true","","modified-mlp","200**2","256","3","30000","SPINN","22500","64","2","10","344.9958622455597","0.0000033058124699891778","434.7878233195552","0.016104493269611126","0.008586457930505276"
"kind-sweep-254","","finished","-","","","2025-10-01T11:10:38.000Z","336","hnu0e21f","sin","true","","modified-mlp","200**2","256","3","30000","SPINN","22500","64","1","10","327.83828616142273","0.000029637765692314133","457.5426554241509","0.132589985622809","0.08405552059412003"
"wobbly-sweep-253","","finished","-","","","2025-10-01T11:04:08.000Z","389","hnu0e21f","sin","true","","modified-mlp","200**2","256","3","30000","SPINN","22500","64","0","10","382.1131629943848","0.00001909891034301836","392.5538676148779","0.2307450511715256","0.12834694981575012"
"pretty-sweep-252","","finished","-","","","2025-10-01T10:57:53.000Z","369","hnu0e21f","sin","true","","modified-mlp","200**2","256","3","30000","SPINN","22500","32","3","10","361.9490296840668","0.0001304723264183849","414.42299246092745","0.14982686169225923","0.05285177752375603"
"worthy-sweep-251","","finished","-","","","2025-10-01T10:51:33.000Z","375","hnu0e21f","sin","true","","modified-mlp","200**2","256","3","30000","SPINN","22500","32","2","10","367.4988589286804","0.000014325768461276311","408.1645326390255","0.010604851967575988","0.008660973981022835"
"fragrant-sweep-250","","finished","-","","","2025-10-01T10:46:11.000Z","317","hnu0e21f","sin","true","","modified-mlp","200**2","256","3","30000","SPINN","22500","32","1","10","308.9742228984833","0.00010030492558144032","485.4773922330863","0.3882470616856464","0.5056322813034058"
"drawn-sweep-249","","finished","-","","","2025-10-01T10:40:38.000Z","327","hnu0e21f","sin","true","","modified-mlp","200**2","256","3","30000","SPINN","22500","32","0","10","319.47943806648254","0.00002509170735720545","469.5137843856653","0.08684917416424341","0.01572190783917904"
"upbeat-sweep-248","","finished","-","","","2025-10-01T10:36:20.000Z","252","hnu0e21f","sin","true","","modified-mlp","200**2","256","3","20000","SPINN","22500","64","3","10","245.184782743454","0.00006478597788373008","407.8556543398281","0.12309660187166394","0.06606442481279373"
"scarlet-sweep-247","","finished","-","","","2025-10-01T10:32:12.000Z","246","hnu0e21f","sin","true","","modified-mlp","200**2","256","3","20000","SPINN","22500","64","2","10","237.97333335876465","0.00003860408833133988","420.2151501119735","0.1359625789202862","0.05610904470086098"
"light-sweep-246","","finished","-","","","2025-10-01T10:27:48.000Z","257","hnu0e21f","sin","true","","modified-mlp","200**2","256","3","20000","SPINN","22500","64","1","10","248.77683687210083","0.00008296162559418008","401.9666833026389","0.04144700046805937","0.016162166371941566"
"zany-sweep-245","","finished","-","","","2025-10-01T10:23:09.000Z","274","hnu0e21f","sin","true","","modified-mlp","200**2","256","3","20000","SPINN","22500","64","0","10","266.1369023323059","0.000002723143097682623","375.7464640327752","0.005043693291924147","0.0013426782097667456"
"avid-sweep-244","","finished","-","","","2025-10-01T10:19:07.000Z","240","hnu0e21f","sin","true","","modified-mlp","200**2","256","3","20000","SPINN","22500","32","3","10","232.2563021183014","0.00003549884058884345","430.5588226797148","0.11898193154110136","0.05454121530056"
"graceful-sweep-243","","finished","-","","","2025-10-01T10:14:54.000Z","247","hnu0e21f","sin","true","","modified-mlp","200**2","256","3","20000","SPINN","22500","32","2","10","239.54841136932373","0.00018618242756929249","417.45215269169546","0.1990594896319414","0.09899327158927916"
"happy-sweep-242","","finished","-","","","2025-10-01T10:10:36.000Z","254","hnu0e21f","sin","true","","modified-mlp","200**2","256","3","20000","SPINN","22500","32","1","10","245.683438539505","0.00004550512312562205","407.027842798286","0.02268902201205864","0.01494408119469881"
"swift-sweep-241","","finished","-","","","2025-10-01T10:05:51.000Z","279","hnu0e21f","sin","true","","modified-mlp","200**2","256","3","20000","SPINN","22500","32","0","10","269.6185975074768","0.000024680703063495457","370.8942963299366","0.4602464340294516","0.1044706255197525"
"swift-sweep-240","","finished","-","","","2025-10-01T09:59:42.000Z","367","hnu0e21f","sin","true","","modified-mlp","200**2","128","3","30000","SPINN","22500","64","3","10","358.07944107055664","0.000012762037840730043","418.9014581556044","0.026249050061250303","0.007054304704070091"
"crisp-sweep-239","","finished","-","","","2025-10-01T09:53:33.000Z","364","hnu0e21f","sin","true","","modified-mlp","200**2","128","3","30000","SPINN","22500","64","2","10","355.5064227581024","0.000001233491502716788","421.93330527270007","0.0003720459347653834","0.001075310749001801"
"expert-sweep-238","","finished","-","","","2025-10-01T09:47:04.000Z","384","hnu0e21f","sin","true","","modified-mlp","200**2","128","3","30000","SPINN","22500","64","1","10","374.96043729782104","0.000002418495569145307","400.0422046682728","0.002882370285477846","0.0015815577935427427"
"good-sweep-237","","finished","-","","","2025-10-01T09:41:28.000Z","335","hnu0e21f","sin","true","","modified-mlp","200**2","128","3","30000","SPINN","22500","64","0","10","326.40602564811707","8.409182328250608e-7","459.5503398019616","0.0009882540004267893","0.001338680973276496"
"zesty-sweep-236","","finished","-","","","2025-10-01T09:35:52.000Z","334","hnu0e21f","sin","true","","modified-mlp","200**2","128","3","30000","SPINN","22500","32","3","10","325.38569259643555","0.0000019251615412940737","460.9913816525416","0.0014407582443825573","0.0026821568608283997"
"true-sweep-235","","finished","-","","","2025-10-01T09:29:41.000Z","368","hnu0e21f","sin","true","","modified-mlp","200**2","128","3","30000","SPINN","22500","32","2","10","359.5102028846741","0.0000020799855064979056","417.23433381421427","0.0033293987080175716","0.0018235406605526805"
"fluent-sweep-234","","finished","-","","","2025-10-01T09:23:36.000Z","358","hnu0e21f","sin","true","","modified-mlp","200**2","128","3","30000","SPINN","22500","32","1","10","349.5696976184845","0.000007182424724305747","429.0989780347263","0.02184182934378477","0.0116421515122056"
"skilled-sweep-233","","finished","-","","","2025-10-01T09:17:08.000Z","383","hnu0e21f","sin","true","","modified-mlp","200**2","128","3","30000","SPINN","22500","32","0","10","375.3142321109772","0.000008386715308006387","399.6650997120895","0.1214051739716564","0.0160412285476923"
"olive-sweep-232","","finished","-","","","2025-10-01T09:12:34.000Z","268","hnu0e21f","sin","true","","modified-mlp","200**2","128","3","20000","SPINN","22500","64","3","10","259.7334518432617","8.139671763274237e-7","385.01009126982154","0.0005190255552026866","0.000801724090706557"
"charmed-sweep-231","","finished","-","","","2025-10-01T09:08:00.000Z","269","hnu0e21f","sin","true","","modified-mlp","200**2","128","3","20000","SPINN","22500","64","2","10","259.22663164138794","0.00000510569861944532","385.76283372897893","0.0044921860469990995","0.0018762607360258696"
"dry-sweep-230","","finished","-","","","2025-10-01T09:03:42.000Z","252","hnu0e21f","sin","true","","modified-mlp","200**2","128","3","20000","SPINN","22500","64","1","10","242.44593119621277","0.0000021910518626100384","412.46309850038057","0.002642143216408707","0.0014369181590154767"
"mild-sweep-229","","finished","-","","","2025-10-01T08:59:40.000Z","236","hnu0e21f","sin","true","","modified-mlp","200**2","128","3","20000","SPINN","22500","64","0","10","228.3808171749115","0.00001900716597447172","437.865146630999","0.011241252436922224","0.004231295082718134"
"fiery-sweep-228","","finished","-","","","2025-10-01T08:55:32.000Z","246","hnu0e21f","sin","true","","modified-mlp","200**2","128","3","20000","SPINN","22500","32","3","10","236.9027602672577","0.0000013071087323623942","422.11411925798905","0.0002604046359794359","0.0010478654876351357"
"different-sweep-227","","finished","-","","","2025-10-01T08:51:14.000Z","254","hnu0e21f","sin","true","","modified-mlp","200**2","128","3","20000","SPINN","22500","32","2","10","246.3978977203369","0.000001836050955716928","405.84761852757606","0.002082577594036814","0.0011167824268341064"
"colorful-sweep-226","","finished","-","","","2025-10-01T08:46:45.000Z","263","hnu0e21f","sin","true","","modified-mlp","200**2","128","3","20000","SPINN","22500","32","1","10","254.63255548477173","0.0000019017255681319511","392.72276009491054","0.001043951517380764","0.0012971446849405766"
"playful-sweep-225","","finished","-","","","2025-10-01T08:42:33.000Z","250","hnu0e21f","sin","true","","modified-mlp","200**2","128","3","20000","SPINN","22500","32","0","10","242.5966022014618","0.000002124108959833393","412.2069274365024","0.0009392081856728592","0.0012847535545006394"
"grateful-sweep-224","","finished","-","","","2025-10-01T08:36:45.000Z","345","hnu0e21f","sin","true","","modified-mlp","150**2","256","3","30000","SPINN","22500","64","3","10","335.9503297805786","0.000006973029485379811","446.4945758439066","0.02968219486912532","0.015978967770934105"
"logical-sweep-223","","finished","-","","","2025-10-01T08:30:58.000Z","345","hnu0e21f","sin","true","","modified-mlp","150**2","256","3","30000","SPINN","22500","64","2","10","337.6184227466583","0.000011581658327486366","444.2885514945871","0.15326075468674738","0.054562151432037354"
"youthful-sweep-222","","finished","-","","","2025-10-01T08:25:22.000Z","330","hnu0e21f","sin","true","","modified-mlp","150**2","256","3","30000","SPINN","22500","64","1","10","322.329195022583","0.000005815100848849397","465.3627481354605","0.11327931910136715","0.1368597000837326"
"vibrant-sweep-221","","finished","-","","","2025-10-01T08:19:40.000Z","339","hnu0e21f","sin","true","","modified-mlp","150**2","256","3","30000","SPINN","22500","64","0","10","330.69039583206177","0.000009842098734225146","453.5964814538375","0.08927693904357221","0.03853021562099457"
"wobbly-sweep-220","","finished","-","","","2025-10-01T08:13:47.000Z","350","hnu0e21f","sin","true","","modified-mlp","150**2","256","3","30000","SPINN","22500","32","3","10","341.96623635292053","0.000019810069716186263","438.63979555336863","0.22195837324168805","0.19261352717876432"
"expert-sweep-219","","finished","-","","","2025-10-01T08:07:44.000Z","357","hnu0e21f","sin","true","","modified-mlp","150**2","256","3","30000","SPINN","22500","32","2","10","348.8997800350189","0.000014658142390544526","429.92288497557826","0.3775354416617283","0.2468818575143814"
"super-sweep-218","","finished","-","","","2025-10-01T08:01:27.000Z","372","hnu0e21f","sin","true","","modified-mlp","150**2","256","3","30000","SPINN","22500","32","1","10","364.2872109413147","0.000023679278456256725","411.7630141678634","0.26683369184595923","0.09163200855255128"
"tough-sweep-217","","finished","-","","","2025-10-01T07:55:30.000Z","352","hnu0e21f","sin","true","","modified-mlp","150**2","256","3","30000","SPINN","22500","32","0","10","343.4411244392395","0.00002953709008579608","436.7560822685855","0.18808249880746325","0.12282674759626389"
"gallant-sweep-216","","finished","-","","","2025-10-01T07:51:29.000Z","236","hnu0e21f","sin","true","","modified-mlp","150**2","256","3","20000","SPINN","22500","64","3","10","227.75941491127017","0.000051451912440825254","439.05978612984103","0.1041208843960503","0.03920332714915275"
